Date,Global_Mean,North_H_Mean,South_H_Mean,Tropics_Mean
2008-12,103.357399919,106.51183386,100.202965977,128.050965668
2009-01,103.22426135,89.9420689351,116.506453765,128.390974328
2009-02,101.66337081,79.6091962822,123.717545337,126.611406302
2009-03,100.372800984,74.9296404848,125.815961484,121.588723474
2009-04,99.5133451779,80.6572879736,118.369402382,122.990292539
2009-05,99.9286803493,99.1308136683,100.72654703,122.423666339
2009-06,108.410156477,119.870801996,96.9495109583,126.972769474
2009-07,106.040418182,136.169748251,75.9110881118,130.481765538
2009-08,100.386560871,131.74290547,69.0302162718,125.893364798
2009-09,101.663729064,136.902039261,66.4254188675,125.920297955
2009-10,100.112244743,122.971016055,77.2534734299,124.111577915
2009-11,102.439011913,112.649497774,92.2285260529,127.809118942
2009-12,106.561993587,108.290636375,104.833350798,125.257695637
2010-01,103.757515369,90.030722624,117.484308114,126.450883237
2010-02,102.134553117,81.9386782817,122.330427952,118.442534996
2010-03,98.5610751161,76.0913406594,121.030809573,116.906300697
2010-04,97.6991540119,89.2674428094,106.130865214,120.502652807
2010-05,99.7554265253,105.127806762,94.3830462885,118.737709163
2010-06,105.089612501,120.955688111,89.2235368908,129.035641258
2010-07,106.842081739,134.053227566,79.6309359112,133.355139856
2010-08,104.33023661,137.196631033,71.4638421867,131.745655664
2010-09,101.884761678,135.876329875,67.8931934801,125.936829018
2010-10,102.083609033,124.785797928,79.3814201381,128.993360008
2010-11,104.911021526,115.944874983,93.8771680684,128.586453192
2010-12,107.315765014,113.319998341,101.311531687,128.707092021
2011-01,106.556840717,89.6191856364,123.494495797,132.434617243
2011-02,105.165103666,86.7675102973,123.562697035,128.249937567
2011-03,100.523268474,78.9224632872,122.124073661,128.047351638
2011-04,102.27169591,84.1640125891,120.379379232,123.623869383
2011-05,101.190421134,109.33247987,93.0483623982,123.032365523
2011-06,107.296933387,120.439293726,94.1545730479,124.949097046
2011-07,103.446988457,131.978188348,74.9157885657,127.412503042
2011-08,102.117959861,136.47661442,67.7593053013,124.861293758
2011-09,101.094069721,141.364251871,60.8238875716,127.60216575
2011-10,101.789975813,123.917097099,79.6628545274,124.466077144
2011-11,105.209704657,119.697542614,90.7218666998,134.076406873
2011-12,102.898935031,103.238323737,102.559546326,132.606394416
2012-01,102.825417867,83.2785330507,122.372302682,124.131554588
2012-02,101.865603736,84.5961533223,119.135054149,123.338710196
2012-03,100.279908499,71.4857504178,129.074066581,124.11094364
2012-04,101.358704002,90.7063956107,112.011012393,120.407502017
2012-05,101.054413747,103.059204802,99.0496226918,126.762235561
2012-06,107.760226834,117.581728908,97.93872476,122.511674622
2012-07,108.784802506,132.444626977,85.124978034,134.706533523
2012-08,107.878077578,141.831879704,73.9242754528,135.433675065
2012-09,103.004864423,135.675345021,70.3343838253,126.593231572
