Date,United States: Nominal Effecive Exchange Rate,"United States: Stock Markets, US$","United States: Industrial Production, constant US$","United States: CPI Price,not seas.adj",United States: Real Effective Exchange Rate,Japan: Nominal Effecive Exchange Rate,"Japan: Stock Markets, US$","Japan: Industrial Production, constant US$","Japan: CPI Price,not seas.adj",Japan: Real Effective Exchange Rate,India: Nominal Effecive Exchange Rate,"India: Stock Markets, US$","India: Industrial Production, constant US$","India: CPI Price,not seas.adj",India: Real Effective Exchange Rate,United Kingdom: Nominal Effecive Exchange Rate,"United Kingdom: Stock Markets, US$","United Kingdom: Industrial Production, constant US$","United Kingdom: CPI Price,not seas.adj",United Kingdom: Real Effective Exchange Rate,Germany: Nominal Effecive Exchange Rate,"Germany: Stock Markets, US$","Germany: Industrial Production, constant US$","Germany: CPI Price,not seas.adj",Germany: Real Effective Exchange Rate,China: Nominal Effecive Exchange Rate,"China: Stock Markets, US$","China: Industrial Production, constant US$","China: CPI Price,not seas.adj",China: Real Effective Exchange Rate,Brazil: Nominal Effecive Exchange Rate,"Brazil: Stock Markets, US$","Brazil: Industrial Production, constant US$","Brazil: CPI Price,not seas.adj",Brazil: Real Effective Exchange Rate,World: Nominal Effecive Exchange Rate,"World: Stock Markets, US$","World: Industrial Production, constant US$","World: CPI Price,not seas.adj",World: Real Effective Exchange Rate
2015-04,114.979202231,171.61789303465,279393087121.295,109.18929146649,107.47857681818,75.39489839428,141.244414115,132826923231.905,103.72670807453,69.95047318182,79.25135090909,119.22624564824,45154569944.071,146.65856622114,103.42418090909,113.40329197619,126.7627343195,37858364027.164,113.79628364531,112.44090909091,94.00449052903,154.27100602759,98738975373.4125,108.08080808081,91.77087286393,125.71433397754,145.33474427314,375488976343.644,116.30130597015,127.74595045455,68.29606775658,46.5246573783,41702920934.9545,139.63430278072,73.93935090909,99.166466697,144.38273276239,1669830204294.58,119.01801737252,101.09847519437
2015-03,115.64987059342,171.24765655005,284688140743.443,108.96777379354,108.40544818182,75.18578649835,136.25552484801,149412866426.655,103.20910973085,69.64776454545,80.04441863636,121.52651271643,50281733029.3449,146.0510328068,104.14462454546,113.39662874587,124.41293289109,41529253389.2495,113.51846791456,112.82727272727,94.72387184878,152.4478372572,108229597775.293,108.08080808081,92.38606754736,126.17610214733,120.26989336798,420382063271.939,116.53451492537,128.92319727273,66.39034420261,41.60856142619,44285872118.9888,138.64983455145,71.75173727273,99.10708938642,141.28691455531,1794731296540.03,118.47849581774,101.007174226
2015-02,113.03263322538,171.37817701797,283599249441.887,108.3230650662,106.604384,75.38179599328,129.92099998982,133245056253.622,102.89855072464,69.746423,79.406367,124.04573734236,45941411803.6922,145.44349939247,103.22337375,112.26829107698,126.84537468803,36968451454.5373,113.30327458214,112.8325,96.45576268351,148.93306360261,95179991972.7072,107.57575757576,94.09038798988,124.45159513529,109.73651930413,382157920163.181,117.11753731343,127.41848425,72.77349565398,46.13259954659,39307820746.1226,136.84338633388,78.0140735,98.66248494084,141.22212817565,1649275115634.98,117.7727428556,100.56961814652
2015-01,111.41634759325,167.5280380885,283484572632.378,107.85464748693,105.48341136364,75.05205169813,124.91269580206,131572524166.756,103.10559006211,69.96689659091,78.350815,120.67624347195,48022735432.3678,145.20048602673,102.20457068182,108.92231977231,120.37598333796,37042610835.5895,113.01407296079,110.21818181818,97.50134007111,140.47722457416,90708448725.6673,106.66666666667,94.96834268679,123.46117269003,114.03449047381,382157920163.181,115.72994402985,125.870275,76.99893804291,47.62621918059,41374181693.3501,135.19416358027,82.1428375,98.40784098792,136.72744872963,1654479802613.6,117.0061640875,100.38025923917
2014-12,108.57947090807,169.55249317158,284745748342.584,108.36459962988,103.7345623913,73.39964772142,125.53331835286,139656429253.273,103.20910973085,68.28644565217,76.19119195652,117.3107797417,47185129581.8033,145.07897934386,98.94972630435,108.2317826518,122.77177701645,37895443717.6902,114.01147697773,110.05652173913,99.75607918227,144.60116231221,94541200080.2729,107.77777777778,97.41038150002,121.56120768429,104.09611190899,332671732393.167,115.39179104478,123.90141608696,75.17409869801,49.11489141372,41186330698.1476,133.53836235536,79.25752152174,97.68814389106,138.55535998629,1646771000787.23,116.8740703796,99.65550920469
2014-11,106.47111740369,168.54723368233,285117236598.74,108.9825416384,101.89681375,74.79757354309,126.04277316464,133384433927.527,103.10559006211,69.19949975,76.34409,121.2868284413,43682414206.7151,145.92952612394,99.87710775,107.92673657612,125.22048674404,38117921860.8468,114.02058569021,109.3675,99.45133510282,141.47041714247,102024190820.217,107.77777777778,97.15348571647,119.05913296037,87.54485836899,334580553522.193,115.04197761194,122.23317675,79.92545665723,54.50726910031,46868823303.0232,132.50488451494,80.5211105,97.72226986923,139.86630209584,1653074003414.84,116.72694834805,99.55476050983
2014-10,104.53216255208,159.50238930785,283943279870.413,109.57417842326,100.30876282609,79.71943057336,121.66374630459,140492695296.706,103.51966873706,73.98195347826,75.65106369565,115.46206414318,41905674523.6994,145.92952612394,98.80516521739,108.25862424218,123.03042026128,39601109481.8915,114.31889602405,110.00652173913,99.35290651063,136.0243296945,104761870359.221,107.77777777778,97.09948634978,116.15479881641,82.72519868985,339436117269.154,115.27518656716,119.83417543478,78.78215118591,57.55438932116,51330284439.0825,131.8325647486,82.54796173913,97.47897641996,134.78571204942,1691433782059.3,116.74455964377,99.42872087661
2014-09,103.02641723734,163.28662509212,287000789735.2,109.85015252415,99.21700159091,79.61697757286,126.94536967166,142583360405.287,103.83022774327,74.13163,75.49847954545,117.60985253138,43606268220.3001,145.92952612394,98.71882068182,108.28057041342,131.75945685278,38488718766.108,114.18340392586,110.14090909091,99.70782899058,148.51931817409,104670614374.588,108.08080808081,97.58837465058,114.56047527448,81.17452060897,354909498546.326,115.27518656716,117.92108431818,81.81236152103,64.80970269267,49592662733.4594,131.2812888541,85.71055840909,97.37897691839,141.41292994245,1694928898054.49,116.55175975206,99.27369413395
2014-08,101.22922425934,160.20224800732,289182610254.136,109.76754489194,98.03239904762,82.18437439336,127.4025807631,125021773493.199,103.51966873706,76.57014571429,74.51973809524,113.92320812645,42184876473.8876,146.17253948967,97.93844238095,108.32818934489,133.78786467271,34039155902.9741,114.14241471968,110.80952380952,100.53053090638,147.50069108482,86236905478.6273,108.08080808081,98.32484445983,112.28556462019,77.52491202922,337240972970.774,114.70382462687,115.31394380952,82.74478514894,66.0725475867,49921401975.0638,130.53726375065,86.86246904762,97.12551693107,140.87004307894,1575102576330.53,116.21027177825,99.11615862076
2014-07,100.39506147808,162.23744060723,282120564665.759,109.95121996243,97.45465782609,81.96922248385,129.09491400872,143977137144.342,103.41614906832,77.28484521739,75.0346676087,113.93293389155,43910852165.96,144.83596597813,97.77530152174,109.44089783338,137.83689197685,37821284336.6379,113.70178075329,111.80434782609,100.9029579035,157.75843256464,103028006651.186,108.08080808081,98.71339754573,111.41294395726,72.3925823198,336465514387.107,114.47061567164,113.39087652174,83.62640383824,65.03034142777,49029109747.8519,130.21162942156,87.98196565217,97.06242461128,142.64566950326,1662316567510.79,115.97761391824,99.06246981761
